Fecha_Hora,Tipo_Operacion,Precio_BTC,Monto_BTC,Monto_USDT,Ganancia_USDT,Ganancia_Porcentaje
2026-08-22 07:58:42,COMPRA,77119.99,0.012967,1000.0,0.0,N/A
2026-08-22 11:59:37,VENTA,76994.22,0.012967,998.37,-0.5,-0.05%
2026-08-22 20:41:24,COMPRA,77266.21,0.012942,1000.0,0.0,N/A
2026-08-22 21:31:55,VENTA,77265.75,0.012942,999.99,-0.51,-0.05%
